category|img_url|title|date|author|subcategory|description|news_site
Noticias|www.soy502.com/sites/default/files/styles/full_node/public/2023/Sep/23/mp_csj_asesinato_0.jpeg|Caso Melissa Palacios: Juez pierde derecho de antejuicio|2023-09-23|Karla Gutiérrez|Seguridad y justicia|"<p>Melissa Palacios fue asesinada a principios de julio de 2021. (Foto: Archivo)</p><h2>El juez que conoció el caso de la universitaria asesinada en Zacapa podrá ser investigado por presuntas irregularidades en el proceso.</h2><h3>EN CONTEXTO: <a href=""https://www.soy502.com/articulo/buscan-universitaria-desaparecida-zacapa-domingo-32419"" target=""_blank"">Melissa Palacios, la universitaria asesinada en Zacapa cuando iba a un cumpleaños</a></h3><p>Los magistrados de la Corte Suprema de Justicia (CSJ) resolvieron en contra del juez de instancia penal de Zacapa <strong>José Maximino Morales González</strong>, a quien retiraron el derecho de antejuicio.</p><p>El juzgador conoció el <strong>caso de Melissa Palacios</strong>, la universitaria que fue asesinada a principios de julio de 2021. Familiares de la joven lo denunciaron después de que reformó los delitos contra los principales sospechosos del crimen: Fernanda Bonilla Archila y José Luis Marroquín.</p><p>Producto de esto, en agosto del año pasado, la CSJ aprobó retirarle la imnunidad, lo cual permitiría que fuera investigado por supuestas anomalías en su fallo.</p><p>Sin embargo, esta decisión quedó sin valor, debido a que la <strong>Corte de Constitucionalidad (CC)</strong> ordenó a la CSJ repetir el proceso. Fue durante la reunión plenaria extraordinaria que sostuvieron los magistrados de este último organismo el pasado viernes cuando reafirmaron su decisión.</p><p>Así el juez Morales podrá se objeto de indagaciones por parte del Ministerio Público (MP), en seguimiento a la denuncia de los familiares de Melissa Palacios.</p><p>El vocero del Organismo Judicial, Rudy Esquivel, informó que el pleno de la CSJ conoció el expediente en mención, el cual fue planteado por la <strong>Fiscalía Distrital de Zacapa</strong>, y de manera unánime resolvieron despojar al juzgador del su derecho de antejuicio.</p><h2>Juez señalado</h2><p>En varias oportunidades, los familiares de la joven universitaria cuestionaron las decisiones del juez, hasta que en enero de 2022 fue separado del caso. El juzgador argumentó tener <strong>enemistad con la mamá de Melissa</strong>.</p><p>Anteriormente, Morales había sido cuestionado por cambiar el delito de asesinato a homicidio en estado de emoción violenta, beneficiando a Fernanda Bonilla, una de las sindicadas por el crimen.</p><p>Cabe recordar que familiares de Melissa Palacios activaron la<strong> alerta Isabel-Claudina</strong> para ubicarla en julio de 2021. Desapareció el domingo 4 y la Policía Nacional Civil informó sobre la localización de su cuerpo un día después.</p><p>La joven había salido a la celebración de un cumpleaños y habría estado con Bonilla. Posteriormente, se le acusó a ella de haber cometido el asesinato.</p><p><figure class=""inline-code""><blockquote class=""twitter-tweet""><p lang=""es"" dir=""ltr""> SE SUSPENDE ⎮ Caso Melissa Palacios: implicada enfrenta segundo proceso penal<br><br>María Fernanda Bonilla enfrenta otro proceso penal por tener un celular en prisión.<br><br>Más detalles: <a href=""https://t.co/hm2jUZszAz"">https://t.co/hm2jUZszAz</a> <a href=""https://t.co/mf8uAlzeBc"">pic.twitter.com/mf8uAlzeBc</a></p>— Soy 502 (@soy_502) <a href=""https://twitter.com/soy_502/status/1554579114224488452?ref_src=twsrc%5Etfw"">August 2, 2022</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script></figure></p><p lang=""es"" dir=""ltr""> SE SUSPENDE ⎮ Caso Melissa Palacios: implicada enfrenta segundo proceso penal<br><br>María Fernanda Bonilla enfrenta otro proceso penal por tener un celular en prisión.<br><br>Más detalles: <a href=""https://t.co/hm2jUZszAz"">https://t.co/hm2jUZszAz</a> <a href=""https://t.co/mf8uAlzeBc"">pic.twitter.com/mf8uAlzeBc</a></p>"|soy502
Noticias|www.soy502.com/sites/default/files/styles/full_node/public/2023/Sep/23/asesinato_condena_mp.jpeg|¡Por asesinato! Joven mujer pasará 25 años en la cárcel|2023-09-23|Karla Gutiérrez|Seguridad y justicia|"<p>La mujer tiene varios casos abiertos por hechos de violencia, incluidos asesinatos. (Foto con fines ilustrativos / Freepik) </p><h2>Con solo 19 años, una mujer, sentenciada por asesinato, ya tiene un amplio récord criminal.</h2><h3>OTRAS NOTICIAS: <a href=""https://www.soy502.com/articulo/tenian-arsenal-acusan-hombres-herir-nino-9-anos-101772"" target=""_blank"">¡Tenían arsenal! Acusan a hombres de herir a una niña de 9 años</a></h3><p>Leydi Noemí Tzún Lacán, más conocida como<strong> ""La China""</strong>, recién había cumplido 18 años cuando fue capturada y quedó ligada a proceso penal por un caso de asesinato, en agosto de 2022. Un año después, un tribunal la encontró culpable.</p><p>La Fiscalía de Delitos contra la Vida y la Integridad de las Personas comprobó, mediante diversos medios de pruebas, que la joven dio muerte a un hombre de nacionalidad colombiana en abril del citado año.</p><p>El crimen tuvo lugar en un sector de la colonia Loma Blanca, en la zona 21 capitalina. Según las pesquisas, <strong>la víctima era un prestamista</strong>, quien, debido a la gravedad de sus heridas, falleció en el sitio.</p><p>Tras considerar los elementos presentados por el ente investigador, el tribunal que conoció el caso le dictó una condena de 25 años de cárcel.</p><p><figure class=""inline-code""><blockquote class=""twitter-tweet""><p lang=""es"" dir=""ltr""><a href=""https://twitter.com/hashtag/SentenciaCondenatoria?src=hash&amp;ref_src=twsrc%5Etfw"">#SentenciaCondenatoria</a> <br>La Fiscalía de Delitos contra la Vida y la Integridad de las Personas obtuvo sentencia condenatoria de 25 años de prisión contra Leydi Nohemí Tzun Lacán por el delito de asesinato. <a href=""https://t.co/diY3Ouw9vf"">pic.twitter.com/diY3Ouw9vf</a></p>— MP de Guatemala (@MPguatemala) <a href=""https://twitter.com/MPguatemala/status/1704313381228863599?ref_src=twsrc%5Etfw"">September 20, 2023</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script></figure></p><p lang=""es"" dir=""ltr""><a href=""https://twitter.com/hashtag/SentenciaCondenatoria?src=hash&amp;ref_src=twsrc%5Etfw"">#SentenciaCondenatoria</a> <br>La Fiscalía de Delitos contra la Vida y la Integridad de las Personas obtuvo sentencia condenatoria de 25 años de prisión contra Leydi Nohemí Tzun Lacán por el delito de asesinato. <a href=""https://t.co/diY3Ouw9vf"">pic.twitter.com/diY3Ouw9vf</a></p><h2>Récord criminal</h2><p>El mencionado asesinato no sería el único cometido por ""La China"", pues, para el momento en el cual se le detuvo había por lo menos otras siete investigaciones en su contra. Así lo dio a conocer en su momento el Ministerio Público (MP).</p><p>Su aprehensión se efectuó el 3 de agosto de 2022, poco después de que alcanzó la mayoría de edad. Ese día, agentes de la Policía Nacional Civil (PNC) la trasladaron a la Torre de Tribunales, en la zona 1, y constataron que tenía otras dos órdenes de captura vigentes, también por asesinato.</p><p>De acuerdo con el informe de la PNC, Tzun Lacán estaría involucrada en varias clicas de la pandilla 18.</p><p></p>"|soy502
Noticias|www.soy502.com/sites/default/files/styles/full_node/public/2023/Sep/23/motorista_2.jpeg|¿Lo hizo adrede? Captan confuso accidente (video)|2023-09-23|Heidi Loarca|Seguridad y justicia|"<p>Un conductor de automóvil y uno de moto protagonizan accidente. (Foto: archivo/oy502)</p><h2>¿Lo hizo adrede? Captan confuso accidente donde un carro habría arrollado a motorista</h2><h3>OTRAS NOTICIAS: <a href=""https://www.soy502.com/articulo/asi-fue-accidente-donde-murio-motorista-ruta-al-pacifico-32419"" target=""_blank"">Así fue el impactante accidente de una motocicleta contra un tráiler</a></h3><p>Un confuso accidente fue grabado en video donde queda la duda si uno de los conductores causó el incidente de forma intencional.</p><p>Una cámara de seguridad captó el momento cuando dos motoristas se dirigían en una calle, al ver que venía un auto en dirección opuesta, se mueven hacia los lados de la banqueta para permitir el paso del auto.</p><p>Sin embargo, el conductor del carro pareciera arrollar con intención a uno de los motoristas, el que viajaba del lado izquierdo.</p><p>En el video se ve que los motoristas viajaban a velocidad moderada en una calle que se encontraba desolada. El carro venía en las mismas condiciones, lo cual despertó la incógnita de la razón del accidente.</p><p>Según, informa el medio <a href=""https://fb.watch/neY_4P2yma/"" target=""_blank"">Noticias de Jutiapa</a>, el accidente ocurrió en la calle 15 de septiembre, cerca de la cuchilla de La Momosteca.</p><p><figure class=""inline-code""><blockquote class=""twitter-tweet""><p lang=""ca"" dir=""ltr"">Carro atropella a motorista en Jutiapa. <a href=""https://t.co/7CFwK7CQeb"">pic.twitter.com/7CFwK7CQeb</a></p>— InfoGT_Noticias (@infogt_noticias) <a href=""https://twitter.com/infogt_noticias/status/1705677140534940112?ref_src=twsrc%5Etfw"">September 23, 2023</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script></figure></p><p lang=""ca"" dir=""ltr"">Carro atropella a motorista en Jutiapa. <a href=""https://t.co/7CFwK7CQeb"">pic.twitter.com/7CFwK7CQeb</a></p>"|soy502
Noticias|www.soy502.com/sites/default/files/styles/full_node/public/2023/Sep/23/f6vg7b4w0aao_mf_0.jpeg|¡Que susto! Árbol cae sobre vehículo|2023-09-23|Karla Gutiérrez|Comunidad|"<p>La Municipalidad de Mixco trabaja para retirar el árbol, pues obstruye un carril. (Foto: PMT de Mixco)</p><h2>Tremendo susto se llevaron los ocupantes de un vehículo que circulaba por el bulevar El Naranjo, pues fueron sorprendidos por un peculiar hecho.</h2><h3>OTRAS NOTICIAS: <a href=""https://www.soy502.com/articulo/motorista-dana-retrovisor-auto-reaccion-sorprende-101476"" target=""_blank"">Motorista daña retrovisor de auto y su reacción sorprende</a></h3><p>Un árbol afectó no solo la circulación vehicular, sino también dejó daños en un automotor, en un sector del bulevar El Naranjo, en Mixco. La policía municipal de tránsito (PMT) informó sobre el evento.</p><p>Los ocupantes de un carro se llevaron un gran susto cuando un árbol cayó sobre ellos. Como pudieron, salieron del automotor, ante la mirada de otros automovilistas, quienes también se sorprendieron por el hecho.</p><p>Inicialmente se indicó que no había heridos, pero bomberos municipales, quienes cubrieron la emergencia, dieron a conocer que una persona fue trasladada a un centro asistencial.</p><p><figure class=""inline-code""><blockquote class=""twitter-tweet""><p lang=""es"" dir=""ltr"">Árbol cayó sobre vehículo en bulevar El Naranjo con dirección a Guatemala, se reportan complicaciones ya que únicamente se encuentra habilitado carril izquierdo hacia Oriente.<br>Se coordinó con personal de <a href=""https://twitter.com/hashtag/MuniMixco?src=hash&amp;ref_src=twsrc%5Etfw"">#MuniMixco</a> para habilitar la vía. <a href=""https://twitter.com/hashtag/Tr%C3%A1nsitoMixco?src=hash&amp;ref_src=twsrc%5Etfw"">#TránsitoMixco</a> <a href=""https://t.co/duUJDWgUoO"">pic.twitter.com/duUJDWgUoO</a></p>— Tránsito Mixco (@Transito_mixco) <a href=""https://twitter.com/Transito_mixco/status/1705670011593863570?ref_src=twsrc%5Etfw"">September 23, 2023</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script></figure></p><p lang=""es"" dir=""ltr"">Árbol cayó sobre vehículo en bulevar El Naranjo con dirección a Guatemala, se reportan complicaciones ya que únicamente se encuentra habilitado carril izquierdo hacia Oriente.<br>Se coordinó con personal de <a href=""https://twitter.com/hashtag/MuniMixco?src=hash&amp;ref_src=twsrc%5Etfw"">#MuniMixco</a> para habilitar la vía. <a href=""https://twitter.com/hashtag/Tr%C3%A1nsitoMixco?src=hash&amp;ref_src=twsrc%5Etfw"">#TránsitoMixco</a> <a href=""https://t.co/duUJDWgUoO"">pic.twitter.com/duUJDWgUoO</a></p><p></p><h2>Complicaciones</h2><p>De acuerdo con la PMT, se reportan complicaciones en el área, ""ya que únicamente se encuentra habilitado carril izquierdo hacia el Oriente"". Para solventar la situación lo antes posible, se coordinó con personal de la municipalidad para habilitar la vía.</p><p>Además, se cuenta con el apoyo de socorristas, quienes utilizan sierras eléctricas para cortar el árbol en partes y poder retiralo.</p><p></p><p></p>"|soy502
Noticias|www.soy502.com/sites/default/files/styles/full_node/public/2023/Sep/23/screen_shot_2023-09-23_at_3.10.06_pm.png|¡Terror en juego mecánico! Mujer se cae de una silla voladora (video)|2023-09-23|Heidi Loarca|Mundo|"<p>Una mujer resultó gravemente herida en un accidente en un juego mecánico. (Foto: Nova FM)</p><h2>Dramático accidente de una mujer que se cae de una silla voladora en un parque de atracciones en Brasil.</h2><h3>OTRAS NOTICIAS: <a href=""https://www.soy502.com/articulo/colapsa-juego-mecanico-jalapa-hay-heridos-personas-atrapada-101476"" target=""_blank"">En plena feria! Juego mecánico colapsa y deja a varios heridos y atrapados</a></h3><p>Una mujer cayó de un juego mecánico de silla voladora denominado ""Wave Swinger"" en el parque de atracciones Mirabilandia, en Olinda, Gran Recife, el viernes 22 de septiembre, y resultó gravemente herida.</p><p>El accidente se produjo cuando dos asientos juego se soltaron mientras las sillas estaban girando.</p><p>El Servicio Móvil de Atención de Emergencia (Samu) informó que la mujer fue asistida por socorristas ""con traumatismo craneoencefálico (TCE) grave"" y trasladada al Hospital da Restauração (HR), en Derby, zona central de Recife, informó el medio <a href=""https://www.diariodepernambuco.com.br/ultimas/2023/09/mulher-cai-de-brinquedo-no-parque-de-diversao-mirabiliandia.html"" target=""_blank"">Diario Pernambuco</a>.</p><p>Los encargados del parque de diversiones Mirabilandia lamentó el accidente e informó que suspendió preventivamente las actividades del ""Wave Swinger"" para una revisión completa del equipo. El parque también dijo que la atracción se somete a un mantenimiento periódico recomendado por el fabricante.</p><p>El Hospital da Restauração, donde se encuentra recibiendo atención informó que el estado de salud de la víctima era considerado grave ya que la paciente presentó fracturas en todo el cuerpo y traumatismo craneoencefálico.</p><p>El impactante momento fue grabado y compartido en las redes sociales.</p><p><figure class=""inline-code""><blockquote class=""twitter-tweet""><p lang=""es"" dir=""ltr""> | LO ÚLTIMO: Una mujer de 22 años resultó herida después de que la ""silla voladora"" de un parque de atracciones, al noreste de Brasil, se soltara mientras giraba en el aire a gran velocidad.<br><br>La mujer sufrió fracturas corporales, lesión cerebral traumática y se encuentra en… <a href=""https://t.co/Pnd9RRB7FN"">pic.twitter.com/Pnd9RRB7FN</a></p>— Alerta Mundial (@AlertaMundial2) <a href=""https://twitter.com/AlertaMundial2/status/1705646193106153717?ref_src=twsrc%5Etfw"">September 23, 2023</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script></figure><figure class=""inline-code""><blockquote class=""twitter-tweet""><p lang=""es"" dir=""ltr"">Impactante caída de una mujer de un juego mecánico en Brasil. Se encuentra en estado grave con múltiples fracturas. <a href=""https://t.co/ZzSnAhSCcx"">pic.twitter.com/ZzSnAhSCcx</a></p>— InfoGT_Noticias (@infogt_noticias) <a href=""https://twitter.com/infogt_noticias/status/1705688956434579536?ref_src=twsrc%5Etfw"">September 23, 2023</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script></figure><figure class=""inline-code""><iframe src=""https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fjurema.bolsonaro.1%2Fposts%2Fpfbid02NtgYg8LKxcaeUHv4f6gJPwsVaxGSv4xSL7WHcfFmSyb4RHkg54Pi8DyCNNgS5onml&amp;show_text=true&amp;width=500"" width=""500"" height=""683"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share""></iframe></figure></p><p lang=""es"" dir=""ltr""> | LO ÚLTIMO: Una mujer de 22 años resultó herida después de que la ""silla voladora"" de un parque de atracciones, al noreste de Brasil, se soltara mientras giraba en el aire a gran velocidad.<br><br>La mujer sufrió fracturas corporales, lesión cerebral traumática y se encuentra en… <a href=""https://t.co/Pnd9RRB7FN"">pic.twitter.com/Pnd9RRB7FN</a></p><p lang=""es"" dir=""ltr"">Impactante caída de una mujer de un juego mecánico en Brasil. Se encuentra en estado grave con múltiples fracturas. <a href=""https://t.co/ZzSnAhSCcx"">pic.twitter.com/ZzSnAhSCcx</a></p><p></p>"|soy502
Noticias|www.soy502.com/sites/default/files/styles/full_node/public/2023/Sep/23/sentencia_investigacion_mp_0.jpeg|Extrabajador del Renap inscribió un nacimiento que no ocurrió|2023-09-23|Karla Gutiérrez|Seguridad y justicia|"<p>Por haber registrado el nacimiento de un bebé que no existe, el hombre fue condenado a prisión. (Foto: Archivo/Soy502)</p><h2>Un tribunal consideró que el exempleado del Renap cometió un delito al inscribir un nacimiento inexistente.</h2><h3>OTRAS NOTICIAS: <a href=""https://www.soy502.com/articulo/asesinato-joven-mujer-pasara-25-anos-carcel-101772"" target=""_blank"">¡Por asesinato! Joven mujer pasará 25 años en la cárcel</a></h3><p><strong>Elman Omar Cobar Saquil</strong> no solo perdió su trabajo, sino que también deberá purgar una pena en prisión y pagar una multa, por haber inscrito en el Registro Civil a una persona que no existe.</p><p>El Ministerio Público (MP) informó sobre el caso que data de 2010, cuando el hombre laboraba como auxiliar de la citada dependencia del <strong>Registro Nacional de las Personas (Renap)</strong>.</p><p>Mediante la investigación correspondiente, la entidad logró determinar que el 13 de enero de ese año, Cobar inscribió un nacimiento que no ocurrió. Debido a eso, lo acusó del delito de <strong>supresión y alteración del estado civil</strong>.</p><p>Más de 13 años después, el Tribunal con Competencia Especializada en Delitos de Trata de Personas lo encontró culpable y lo condenó a seis años de cárcel. Además, le impuso una <strong>multa de 100 mil quetzales</strong> y lo inhabilitó para desempeñar cualquier empleo o ocupar un cargo público durante 12 años.</p><p><figure class=""inline-code""><blockquote class=""twitter-tweet""><p lang=""es"" dir=""ltr""><a href=""https://twitter.com/hashtag/SentenciaCondenatoria?src=hash&amp;ref_src=twsrc%5Etfw"">#SentenciaCondenatoria</a> <br>La Fiscalía contra la Corrupción logró condena de seis años de prisión contra Elman Omar Cobar Saquil por el delito de supresión y alteración del estado civil. <a href=""https://t.co/KrYjc5y6i5"">pic.twitter.com/KrYjc5y6i5</a></p>— MP de Guatemala (@MPguatemala) <a href=""https://twitter.com/MPguatemala/status/1705417523322056757?ref_src=twsrc%5Etfw"">September 23, 2023</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script></figure></p><p lang=""es"" dir=""ltr""><a href=""https://twitter.com/hashtag/SentenciaCondenatoria?src=hash&amp;ref_src=twsrc%5Etfw"">#SentenciaCondenatoria</a> <br>La Fiscalía contra la Corrupción logró condena de seis años de prisión contra Elman Omar Cobar Saquil por el delito de supresión y alteración del estado civil. <a href=""https://t.co/KrYjc5y6i5"">pic.twitter.com/KrYjc5y6i5</a></p><h2>El delito</h2><p>Según el artículo 240 del <strong>Código Penal</strong>, comete el mencionado delito quien ""falsamente denunciare o hiciere inscribir en el Registro Civil, cualquier hecho<br>que altere el estado civil de una persona, o que, a sabiendas, se aprovechare de la inscripción falsa"".</p><p>Esa tipificación también aplica para quien ""ocultare o expusiere un hijo con el propósito de hacerlo perder sus derechos o su estado civil"". De acuerdo con la normativa, el castigo por estas acciones puede ir <strong>de uno a ocho años de prisión</strong>.</p>"|soy502
Noticias|www.soy502.com/sites/default/files/styles/full_node/public/2023/Sep/23/captan_conductor_borracho_plena_carretera_soy502_guatemala.jpg|Captan a conductor manejando en estado de ebriedad en plena autopista |2023-09-23|Selene Mejía|Comunidad|"<p>Un piloto fue captado mientras zigzagueaba con su vehículo. (Foto: Oficial)</p><h2>Un piloto fue captado en plena autopista mientras zigzagueaba al conducir en estado de ebriedad por la carretera que conduce a Palín, Escuintla. </h2><h3>OTRAS NOTICIAS: <a href=""https://www.soy502.com/articulo/perrito-transportado-manera-inadecuada-bus-extraurbano-153"" target=""_blank"">Captan a perrito transportado de manera inadecuada en bus extraurbano</a></h3><p>En redes sociales se compartió el video de un hombre que fue sorprendido al subir a su vehículo bajo efectos del alcohol, en una gasolinera donde compró bebidas alcohólicas y luego se incorporó a la carretera, mientras avanzaba, se apreciaba que no se encontraba en condiciones de movilizarse de forma segura. </p><p>Según se dio a conocer la persona se conducía por la ruta al Pacífico, en el kilómetro 33 al 34 jurisdicción de Palín.</p><p><em><strong>MIRA EL VIDEO: </strong></em></p><p><figure class=""inline-code""><iframe src=""https://www.facebook.com/plugins/video.php?height=476&amp;href=https%3A%2F%2Fwww.facebook.com%2F100063500171593%2Fvideos%2F785478579929037%2F&amp;show_text=false&amp;width=263&amp;t=0"" width=""263"" height=""876"" style=""border:none;overflow:hidden"" scrolling=""no"" frameborder=""0"" allowfullscreen=""true"" allow=""autoplay; clipboard-write; encrypted-media; picture-in-picture; web-share""></iframe></figure></p>"|soy502
Noticias|www.soy502.com/sites/default/files/styles/full_node/public/2023/Sep/23/robo_video_grabacion_0.jpeg|¡En menos de un minuto! Cámara de seguridad capta robo en negocio|2023-09-23|Karla Gutiérrez|Comunidad|"<p>El acto ilícito quedó grabado y se compartió en las redes sociales. (Captura de pantalla)</p><h2>Un hombre entró a un negocio, pero no precisamente con la intención de comprar.</h2><h3>OTRAS NOTICIAS: <a href=""https://www.soy502.com/articulo/captan-conductor-manejar-borracho-plena-autopista-153"" target=""_blank"">Captan a conductor manejando en estado de ebriedad en plena autopista</a></h3><p>Una cámara de seguridad grabó el momento en que un hombre ingresó a un local y, tras verificar que nadie lo observaba, <strong>extrajo un objeto de valor</strong>.</p><p>El video fue compartido en las redes sociales y en él se observa como el sujeto entra en el negocio y empieza a merodear. Observa lo que hay en el mostrador y hasta se acerca a una puerta que permite el ingreso a otra área.</p><p>Después de corroborar que no hay nadie a la vista, mete un brazo por una reja con el propósito de alcanzar un celular que hay en el mueble. Todo indica que tuvo complicaciones para acceder al aparato, por lo cual retira la extremidad y vuelve a vigilar que no llegue alguien.</p><p>En un segundo intento, logra tomar el teléfono y se retirar del lugar. <strong>Todo ocurre en menos de un minuto</strong>, según el registro de la cámara de seguridad que captó el acto, la mañana de este sábado 23 de septiembre.</p><p>Las personas afectas compartieron el video con el fin de alertar a otros y solicitar apoyo para recuperar lo perdido. El hecho tuvo lugar en el casco urbano de Santa Catarina Mita, Jutiapa.</p><p><figure class=""inline-code""><blockquote class=""twitter-tweet""><p lang=""es"" dir=""ltr"">Cámara de seguridad capta robo en negocio de Santa Catarina Mita, Jutiapa <a href=""https://t.co/3GqiGTiwPc"">pic.twitter.com/3GqiGTiwPc</a></p>— Karla Gutiérrez (@KarlaG_Soy502) <a href=""https://twitter.com/KarlaG_Soy502/status/1705728225500889202?ref_src=twsrc%5Etfw"">September 23, 2023</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script></figure></p><p lang=""es"" dir=""ltr"">Cámara de seguridad capta robo en negocio de Santa Catarina Mita, Jutiapa <a href=""https://t.co/3GqiGTiwPc"">pic.twitter.com/3GqiGTiwPc</a></p>"|soy502
Dinero|www.soy502.com/sites/default/files/styles/full_node/public/2023/Sep/22/banco_industrial_fiesta_de_la_vivienda_casa_apartamento_proyecto_inmobiliario_soy502_guatemala_4.jpg|Banco Industrial inaugura la Fiesta de la Vivienda|2023-09-22|Redacción comercial|Empresas|<p>(Fotografía por: Ana Lucía Castillo - Soy 502)</p><p>Por séptima ocasión, <strong>Banco Industrial</strong> estará ofreciendo facilidades de pago para que los guatemaltecos puedan adquirir su vivienda, brindando un espacio para que conozcan <strong>más de cien proyectos</strong> con 35 desarrolladoras.</p><p>La Fiesta de la Vivienda se encuentra en el tercer nivel, de la Torre 3 del Banco Industrial en zona 4 y estará disponible hasta el 24 de septiembre en horario de 8:00 a 18:30 horas, con parqueo gratis para los visitantes.</p><p></p><p></p><p>Todos los asistentes tienen acceso a:</p><p></p>|soy502
Dinero|www.soy502.com/sites/default/files/styles/full_node/public/2023/Sep/21/negroni_week_distribuidora_alcazaren_bartenders_mixologia_concurso_guatemala_soy502_p.jpeg|Negroni Week: ¿Quién creará el mejor negroni de Guatemala?|2023-09-21|Redacción comercial|Empresas|"<p>(Fotografía cortesía: Distribuidora Alcanzaren)</p><p>Distribuidora Alcazaren realizó el <strong>lanzamiento</strong> de la Negroni Week, una celebración internacional que combina la pasión por los <strong>cócteles</strong> con una causa benéfica.</p><p>Del <strong>18 al 24 de septiembre</strong>, varios establecimientos de la ciudad se unirán a esta festividad, ofreciendo sus versiones únicas del icónico <strong>cóctel Negroni</strong>, además de la realización de un donativo.</p><p>Este año, los <strong>donativos</strong> serán destinados a Slow Food, un movimiento global de comunidades locales y activistas en más de<strong> 160 países</strong> que buscan cambiar el mundo a través de alimentos y bebidas. <strong>Slow Food</strong> imagina un mundo donde todos puedan disfrutar de alimentos y bebidas que sean buenos para ellos, para las personas que los cultivan y para el planeta.</p><p></p><h2>Competencia para el mejor negroni de Guatemala</h2><p>El evento estelar de la <strong>Negroni Week</strong> será la competencia y premiación al Mejor Negroni de Guatemala. Los bartenders más talentosos competirán para crear el <strong>Negroni más extraordinario,</strong> desafiando sus habilidades y creatividad. Un panel de jueces, compuesto por expertos en <strong>mixología</strong> y conocedores del Negroni, determinará quién merece el título de ""<strong>Mejor Negroni de Guatemala</strong>"".</p><h2>Jueces</h2><h2>Participantes</h2><p><strong>Distribuidora Alcazaren</strong> invita a todos los apasionados de la mixología, así como a quienes deseen apoyar la <strong>causa benéfica</strong> de este año, a unirse asistiendo a los establecimientos participantes y degustar las versiones únicas del icónico Negroni.</p><p>Para obtener más <strong>información</strong> sobre los establecimientos participantes, mantente atento a las <strong>redes sociales</strong> de @alcazaren_gt en Instagram y Distribuidora Alcazaren S.A en Facebook.</p>"|soy502
